idModelInstance,Parameter,Value,DistributionType,CvVariability,CvUncertainty,Remark
PFOA_Human_Loccisano_2011,MW,414.07,,,,
PFOA_Human_Loccisano_2011,logP,4.81,,,,
PFOA_Human_Loccisano_2011,VP,2.34,,,,
PFOA_Human_Loccisano_2011,Tmc,144000,,,,
PFOA_Human_Loccisano_2011,Kt,55,,,,
PFOA_Human_Loccisano_2011,Free,0.02,,,,
PFOA_Human_Loccisano_2011,PL,2.2,,,,
PFOA_Human_Loccisano_2011,PF,0.04,,,,
PFOA_Human_Loccisano_2011,PK,1.05,,,,
PFOA_Human_Loccisano_2011,PSk,0.1,,,,
PFOA_Human_Loccisano_2011,PR,0.12,,,,
PFOA_Human_Loccisano_2011,PG,0.05,,,,
PFOA_Human_Loccisano_2011,PLun,1.27,,,,
PFOA_Human_Loccisano_2011,kurinec,0.0072,,,,
PFOA_Human_Loccisano_2011,QCC,300,,,,
PFOA_Human_Loccisano_2011,QFC,0.052,,,,
PFOA_Human_Loccisano_2011,QLC,0.25,,,,
PFOA_Human_Loccisano_2011,QKC,0.175,,,,
PFOA_Human_Loccisano_2011,QSkC,0.058,,,,
PFOA_Human_Loccisano_2011,QGC,0.181,,,,
PFOA_Human_Loccisano_2011,VLC,0.026,,,,
PFOA_Human_Loccisano_2011,VFC,0.214,,,,
PFOA_Human_Loccisano_2011,VKC,0.004,,,,
PFOA_Human_Loccisano_2011,VfilC,0.0004,,,,
PFOA_Human_Loccisano_2011,VGC,0.0171,,,,
PFOA_Human_Loccisano_2011,VlunC,0.007,,,,
PFOA_Human_Loccisano_2011,VPlasC,0.0428,,,,
PFOA_Human_Loccisano_2011,Htc,0.44,,,,
